./Experiments/cifar10-simclr_resnet18-clean
Use GPU: 0 for training
=> creating cnn model 'resnet18'
CIFAR-variant Resnet is loaded
Files already downloaded and verified
Files already downloaded and verified
Initializing Poison data (chosen images, examples, sources, labels) with random seed 7777
main_train.py:124: UserWarning: You have chosen a specific GPU. This will completely disable data parallelism.
  warnings.warn('You have chosen a specific GPU. This will completely '
/home/jianzhang/anaconda3/envs/ctrl/lib/python3.8/site-packages/torch/optim/lr_scheduler.py:152: UserWarning: The epoch parameter in `scheduler.step()` was not necessary and is being deprecated where possible. Please use `scheduler.step()` to step the scheduler. During the deprecation, if epoch is different from None, the closed form is used instead of the new chainable form, where available. Please open an issue if you are unable to replicate your use case: https://github.com/pytorch/pytorch/issues/new/choose.
  warnings.warn(EPOCH_DEPRECATION_WARNING, UserWarning)
[90-epoch] time:42.267 | knn acc: 75.555 | loss:37.674 | cl_loss:37.674
[91-epoch] time:42.193 | knn acc: 76.110 | loss:37.675 | cl_loss:37.675
[92-epoch] time:41.975 | knn acc: 76.542 | loss:37.671 | cl_loss:37.671
[93-epoch] time:42.156 | knn acc: 76.213 | loss:37.662 | cl_loss:37.662
[94-epoch] time:42.278 | knn acc: 76.778 | loss:37.687 | cl_loss:37.687
[95-epoch] time:42.290 | knn acc: 76.203 | loss:37.658 | cl_loss:37.658
[96-epoch] time:42.249 | knn acc: 77.015 | loss:37.678 | cl_loss:37.678
[97-epoch] time:42.515 | knn acc: 77.251 | loss:37.644 | cl_loss:37.644
[98-epoch] time:42.427 | knn acc: 75.421 | loss:37.648 | cl_loss:37.648
[99-epoch] time:42.487 | knn acc: 76.336 | loss:37.650 | cl_loss:37.650
[100-epoch] time:42.372 | knn acc: 78.197 | loss:37.666 | cl_loss:37.666
100-th epoch saved
[101-epoch] time:42.171 | knn acc: 76.172 | loss:37.619 | cl_loss:37.619
[102-epoch] time:42.370 | knn acc: 77.231 | loss:37.633 | cl_loss:37.633
[103-epoch] time:42.645 | knn acc: 76.963 | loss:37.636 | cl_loss:37.636
[104-epoch] time:42.413 | knn acc: 75.535 | loss:37.619 | cl_loss:37.619
[105-epoch] time:42.202 | knn acc: 75.740 | loss:37.631 | cl_loss:37.631
[106-epoch] time:42.180 | knn acc: 76.634 | loss:37.635 | cl_loss:37.635
[107-epoch] time:42.321 | knn acc: 75.185 | loss:37.625 | cl_loss:37.625
[108-epoch] time:42.090 | knn acc: 77.046 | loss:37.618 | cl_loss:37.618
[109-epoch] time:42.198 | knn acc: 78.135 | loss:37.617 | cl_loss:37.617
[110-epoch] time:42.213 | knn acc: 77.076 | loss:37.617 | cl_loss:37.617
[111-epoch] time:42.376 | knn acc: 76.398 | loss:37.615 | cl_loss:37.615
[112-epoch] time:42.174 | knn acc: 77.580 | loss:37.604 | cl_loss:37.604
[113-epoch] time:42.190 | knn acc: 75.401 | loss:37.605 | cl_loss:37.605
[114-epoch] time:42.225 | knn acc: 78.598 | loss:37.612 | cl_loss:37.612
[115-epoch] time:42.251 | knn acc: 75.853 | loss:37.587 | cl_loss:37.587
[116-epoch] time:42.391 | knn acc: 75.370 | loss:37.622 | cl_loss:37.622
[117-epoch] time:42.275 | knn acc: 76.963 | loss:37.600 | cl_loss:37.600
[118-epoch] time:42.170 | knn acc: 77.179 | loss:37.574 | cl_loss:37.574
[119-epoch] time:42.124 | knn acc: 76.110 | loss:37.566 | cl_loss:37.566
[120-epoch] time:42.162 | knn acc: 76.943 | loss:37.597 | cl_loss:37.597
[121-epoch] time:42.254 | knn acc: 77.919 | loss:37.578 | cl_loss:37.578
[122-epoch] time:42.381 | knn acc: 77.590 | loss:37.583 | cl_loss:37.583
[123-epoch] time:42.383 | knn acc: 77.498 | loss:37.595 | cl_loss:37.595
[124-epoch] time:42.498 | knn acc: 78.454 | loss:37.585 | cl_loss:37.585
[125-epoch] time:42.319 | knn acc: 77.817 | loss:37.574 | cl_loss:37.574
[126-epoch] time:42.364 | knn acc: 77.405 | loss:37.579 | cl_loss:37.579
[127-epoch] time:42.607 | knn acc: 77.652 | loss:37.585 | cl_loss:37.585
[128-epoch] time:42.226 | knn acc: 76.521 | loss:37.581 | cl_loss:37.581
[129-epoch] time:42.157 | knn acc: 76.377 | loss:37.572 | cl_loss:37.572
[130-epoch] time:42.325 | knn acc: 78.557 | loss:37.582 | cl_loss:37.582
[131-epoch] time:42.439 | knn acc: 77.087 | loss:37.569 | cl_loss:37.569
[132-epoch] time:42.542 | knn acc: 76.819 | loss:37.554 | cl_loss:37.554
[133-epoch] time:42.254 | knn acc: 76.429 | loss:37.583 | cl_loss:37.583
[134-epoch] time:42.350 | knn acc: 77.354 | loss:37.549 | cl_loss:37.549
[135-epoch] time:42.260 | knn acc: 77.241 | loss:37.552 | cl_loss:37.552
[136-epoch] time:42.408 | knn acc: 76.604 | loss:37.560 | cl_loss:37.560
[137-epoch] time:42.733 | knn acc: 77.580 | loss:37.554 | cl_loss:37.554
[138-epoch] time:42.536 | knn acc: 78.485 | loss:37.532 | cl_loss:37.532
[139-epoch] time:42.344 | knn acc: 78.084 | loss:37.536 | cl_loss:37.536
[140-epoch] time:42.346 | knn acc: 76.943 | loss:37.529 | cl_loss:37.529
[141-epoch] time:42.279 | knn acc: 77.817 | loss:37.526 | cl_loss:37.526
[142-epoch] time:42.373 | knn acc: 78.012 | loss:37.527 | cl_loss:37.527
[143-epoch] time:42.089 | knn acc: 78.351 | loss:37.554 | cl_loss:37.554
[144-epoch] time:42.250 | knn acc: 78.773 | loss:37.532 | cl_loss:37.532
[145-epoch] time:41.970 | knn acc: 78.752 | loss:37.557 | cl_loss:37.557
[146-epoch] time:42.336 | knn acc: 77.899 | loss:37.542 | cl_loss:37.542
[147-epoch] time:42.227 | knn acc: 78.639 | loss:37.510 | cl_loss:37.510
[148-epoch] time:42.137 | knn acc: 77.405 | loss:37.532 | cl_loss:37.532
[149-epoch] time:42.177 | knn acc: 78.485 | loss:37.531 | cl_loss:37.531
[150-epoch] time:42.325 | knn acc: 77.889 | loss:37.505 | cl_loss:37.505
[151-epoch] time:52.047 | knn acc: 76.933 | loss:37.534 | cl_loss:37.534
[152-epoch] time:49.999 | knn acc: 79.009 | loss:37.544 | cl_loss:37.544
[153-epoch] time:53.400 | knn acc: 78.022 | loss:37.529 | cl_loss:37.529
[154-epoch] time:42.163 | knn acc: 76.840 | loss:37.504 | cl_loss:37.504
[155-epoch] time:42.527 | knn acc: 78.629 | loss:37.519 | cl_loss:37.519
[156-epoch] time:42.068 | knn acc: 79.287 | loss:37.508 | cl_loss:37.508
[157-epoch] time:42.292 | knn acc: 78.978 | loss:37.513 | cl_loss:37.513
[158-epoch] time:42.312 | knn acc: 78.197 | loss:37.483 | cl_loss:37.483
[159-epoch] time:42.400 | knn acc: 77.282 | loss:37.522 | cl_loss:37.522
[160-epoch] time:42.115 | knn acc: 78.680 | loss:37.499 | cl_loss:37.499
[161-epoch] time:42.452 | knn acc: 80.037 | loss:37.489 | cl_loss:37.489
[162-epoch] time:42.276 | knn acc: 78.300 | loss:37.500 | cl_loss:37.500
[163-epoch] time:42.390 | knn acc: 77.138 | loss:37.520 | cl_loss:37.520
[164-epoch] time:42.573 | knn acc: 78.742 | loss:37.484 | cl_loss:37.484
[165-epoch] time:42.215 | knn acc: 78.588 | loss:37.509 | cl_loss:37.509
[166-epoch] time:42.301 | knn acc: 79.215 | loss:37.506 | cl_loss:37.506
[167-epoch] time:42.270 | knn acc: 79.410 | loss:37.512 | cl_loss:37.512
[168-epoch] time:42.497 | knn acc: 78.505 | loss:37.515 | cl_loss:37.515
[169-epoch] time:42.243 | knn acc: 78.197 | loss:37.502 | cl_loss:37.502
[170-epoch] time:42.425 | knn acc: 77.611 | loss:37.493 | cl_loss:37.493
[171-epoch] time:42.245 | knn acc: 77.107 | loss:37.482 | cl_loss:37.482
[172-epoch] time:42.288 | knn acc: 78.546 | loss:37.463 | cl_loss:37.463
[173-epoch] time:42.295 | knn acc: 76.706 | loss:37.468 | cl_loss:37.468
[174-epoch] time:42.482 | knn acc: 79.770 | loss:37.477 | cl_loss:37.477
[175-epoch] time:42.269 | knn acc: 79.266 | loss:37.501 | cl_loss:37.501
[176-epoch] time:42.110 | knn acc: 79.379 | loss:37.483 | cl_loss:37.483
[177-epoch] time:42.419 | knn acc: 79.472 | loss:37.465 | cl_loss:37.465
[178-epoch] time:42.313 | knn acc: 78.372 | loss:37.477 | cl_loss:37.477
[179-epoch] time:42.170 | knn acc: 77.498 | loss:37.479 | cl_loss:37.479
[180-epoch] time:42.096 | knn acc: 77.076 | loss:37.454 | cl_loss:37.454
[181-epoch] time:42.374 | knn acc: 79.174 | loss:37.462 | cl_loss:37.462
[182-epoch] time:42.310 | knn acc: 80.325 | loss:37.477 | cl_loss:37.477
[183-epoch] time:42.314 | knn acc: 79.677 | loss:37.463 | cl_loss:37.463
[184-epoch] time:42.190 | knn acc: 78.207 | loss:37.472 | cl_loss:37.472
[185-epoch] time:42.233 | knn acc: 79.842 | loss:37.457 | cl_loss:37.457
[186-epoch] time:42.018 | knn acc: 78.629 | loss:37.473 | cl_loss:37.473
[187-epoch] time:42.131 | knn acc: 79.780 | loss:37.468 | cl_loss:37.468
[188-epoch] time:42.292 | knn acc: 79.297 | loss:37.460 | cl_loss:37.460
[189-epoch] time:42.283 | knn acc: 78.896 | loss:37.473 | cl_loss:37.473
[190-epoch] time:42.505 | knn acc: 80.798 | loss:37.437 | cl_loss:37.437
[191-epoch] time:42.496 | knn acc: 79.482 | loss:37.460 | cl_loss:37.460
[192-epoch] time:42.429 | knn acc: 78.063 | loss:37.432 | cl_loss:37.432
[193-epoch] time:42.385 | knn acc: 79.852 | loss:37.445 | cl_loss:37.445
[194-epoch] time:42.350 | knn acc: 80.047 | loss:37.437 | cl_loss:37.437
[195-epoch] time:42.422 | knn acc: 77.704 | loss:37.461 | cl_loss:37.461
[196-epoch] time:42.364 | knn acc: 79.492 | loss:37.441 | cl_loss:37.441
[197-epoch] time:42.361 | knn acc: 78.546 | loss:37.450 | cl_loss:37.450
[198-epoch] time:42.370 | knn acc: 79.934 | loss:37.448 | cl_loss:37.448
[199-epoch] time:42.457 | knn acc: 80.006 | loss:37.435 | cl_loss:37.435
[200-epoch] time:42.354 | knn acc: 79.091 | loss:37.449 | cl_loss:37.449
200-th epoch saved
[201-epoch] time:42.315 | knn acc: 80.952 | loss:37.431 | cl_loss:37.431
[202-epoch] time:42.129 | knn acc: 78.197 | loss:37.430 | cl_loss:37.430
[203-epoch] time:42.254 | knn acc: 80.222 | loss:37.438 | cl_loss:37.438
[204-epoch] time:42.384 | knn acc: 78.536 | loss:37.430 | cl_loss:37.430
[205-epoch] time:42.287 | knn acc: 77.714 | loss:37.441 | cl_loss:37.441
[206-epoch] time:42.362 | knn acc: 80.623 | loss:37.438 | cl_loss:37.438
[207-epoch] time:42.248 | knn acc: 79.770 | loss:37.424 | cl_loss:37.424
[208-epoch] time:42.463 | knn acc: 77.734 | loss:37.436 | cl_loss:37.436
